Year,Sqft,Bedrooms,Bathrooms,Floors,Price
2009,1660,3,2.5,2,324500
2006,2192,4,2.25,2,310000
1965,1560,4,1.75,1,299950
2005,1910,4,2.5,2,297500
1989,2490,5,2.5,1,292000
1993,1680,3,2,1,289000
1961,1750,3,2,1,279950
1976,2068,4,2.5,2,276000
2006,1390,3,3,2,275000
1957,1890,3,1.5,1,270000
1968,1500,3,1,1,270000
1967,1690,3,1,1,269000
2006,2100,4,2.5,2,268500
1990,2330,4,2.75,1,257000
1994,1610,3,2.5,2,255000
1976,1510,3,2.5,1,250000
1957,1150,3,1,1,240000
1954,1130,3,1,1,237000
1941,1190,2,1,1,229000
2004,1150,2,2.5,2,214100
1959,1920,4,1.5,1,210000
1958,1010,3,1,1,189000
1908,1150,3,1,1,165000
2005,4280,4,3.5,2,1600000
1936,2460,2,2.25,1.5,1370000
2004,4270,4,4,2,1300000
1999,3010,4,3.5,2,1280000
1979,2170,3,1.5,1,1150000
1963,4400,5,2.75,1,1120000
1960,3450,4,3.25,2,1040000
2014,4150,4,2.5,2,969990
1928,2880,4,2.75,1.5,920000
2013,3240,4,3,2,895000
2014,3010,4,2.75,2,879950
2014,3030,5,2.75,2,837219
2002,2280,2,2,1,835000
1959,2230,4,2,1.5,809950
1956,4600,5,2.5,1,805000
1986,2670,3,2.5,2,744000
1919,2720,4,3,2,739000
2013,2820,4,2.5,2,735000
1990,2550,3,2.5,2,715000
1975,2270,3,2.25,1,680000
1926,1980,3,1.75,1.5,660000
1990,2840,4,2.5,2,650000
2001,2560,4,2.5,2,600000
2005,1990,4,2.5,2,595000
2008,2630,4,2.5,2,589500
2008,2430,4,2.5,2,585000
1993,2400,3,2.5,2,570000
1926,1900,3,1.5,1.5,550000
1990,2040,4,2.5,2,545000
1990,3080,3,2.5,2,539500
1985,2260,3,2,1,539000
1983,1730,3,1.5,2,535500
1972,2440,5,2.75,1,525000
1974,1480,3,1.75,1,510000
1954,1320,4,1.5,1,510000
1904,1720,4,1,1.5,500000
1923,890,2,1,1,475000
2001,2030,3,2.5,2,471000
1977,2070,4,2.25,2,465000
1958,1740,4,2.25,1,455000
1959,2050,4,1.75,1,455000
1946,1740,2,1.75,1,452000
2005,1480,3,2.5,2,450000
1965,1470,4,2,1,445000
1983,3270,4,2.75,2,435000
1926,1260,2,1,1.5,435000
1940,980,3,2,1,435000
1939,1470,3,1.75,1,432000
1977,1910,3,1.75,1,415000
1978,1880,4,2,2,407193
2007,1405,2,2,2,405000
1959,2700,3,2.5,1,402000
1956,1490,2,1.5,1,389250
1953,1560,3,1,1,387500
1954,1550,4,1,1.5,385200
1953,1020,3,1.75,1.5,360000
1983,1370,3,1.75,1,320000
1954,1750,3,1.5,1,315000
1999,2680,4,2.5,2,300000
1967,1970,3,2,1,294700
1943,780,2,1,1,285000
2012,2690,5,2.5,2,279000
1975,1900,4,2.25,1,270000
1948,810,2,1,1,253500
1962,1730,2,1,1,200000
1953,1840,3,1,1,185000
1918,1210,3,1,1,160000
1974,3820,6,2.5,1,611000
1998,2460,4,2.5,2,568500
1985,1730,3,3,3,490000
2006,3070,4,2.5,2,462000
2001,4420,4,3.25,2,2700000
1979,2370,4,2.25,2,684680
2001,2300,3,2.5,2,567500
1994,1780,4,2.5,2,540000
2007,2870,5,3,2,540000
2009,3400,3,2.75,2,530000
1976,2450,4,2.25,2,510000
1927,1300,3,1,1.5,455000
1915,1440,2,1,1,445000
2007,1811,4,2.5,2,260000
1978,4130,4,3.25,2,1900000
1958,4220,5,3.5,1,1640000
1985,3300,4,3.25,2,1350000
1972,4250,4,2.5,2,1340000
1984,2740,4,2.5,2,1230000
1954,2850,3,2.5,1,1150000
2002,4060,4,3.75,2,1020000
1909,2730,4,2.5,1.5,980000
1981,3160,4,2.25,1,965000
1967,2630,3,2.5,1,852500
1926,2030,4,2.5,1.5,831000
1987,2050,4,3.25,2,750000
1988,2610,4,2.5,2,743700
1999,2800,4,2.5,2,739000
2000,3150,4,3,2,700000
1994,2350,4,2.5,2,649950
1992,2380,4,2.5,2,648000
1991,2140,3,2.5,2,640000
1976,2030,4,2,1,627000
1958,2210,3,1.75,1,625000
2004,2590,3,2.5,2,620000
2006,3190,4,2.5,2,609900
1981,2670,3,2.5,2,605000
2004,2630,3,2.5,2,600000
1991,3730,4,3.5,2,599950
1937,2470,4,1.75,2,585000
2003,1870,2,2,1,579000
1977,2050,3,1.75,1,568000
2001,2800,4,2.5,2,563500
1948,2070,3,1.5,1,559000
1977,1760,3,1.75,1,554000
2006,1380,2,2.5,3,552000
2005,2260,3,2.5,2,550000
1968,2700,4,2.5,1,550000
1900,1380,3,1.75,1.5,550000
1998,1530,3,2.5,2,546000
1963,2190,3,2.25,1,539950
2005,1900,3,2.5,2,536000
1980,2470,3,3,2,525000
1963,1300,3,1.75,1,502000
1965,2240,4,1.75,1.5,500000
2004,1500,3,3.5,2,489000
1964,2220,4,1.75,2,480000
1952,1980,4,2.75,1,475000
1998,2330,4,2.5,2,471000
1940,1640,3,1.75,1,450000
1992,2170,4,2.5,2,442500
1948,2240,3,1.75,1,440000
1973,1890,3,2.25,1,435000
1906,800,2,1,1,435000
1986,1310,3,2,1,428000
1905,910,2,1,1,425000
1919,920,2,1,1,417000
1956,1410,3,1,1,410000
2006,1960,3,2.5,2,410000
1943,710,2,1,2,403950
1942,1140,2,1,1,400000
2013,2370,4,3.5,2.5,400000
2004,1720,3,2.5,2,398000
1968,2700,4,1.75,1.5,390000
1987,1230,3,1.75,1,385000
1960,2020,4,1.5,1,379000
1946,730,2,1,1,378500
1958,1710,3,1.75,1,368000
1993,2190,4,2.75,2,367300
2011,1800,3,2.5,2,365000
1997,2500,3,3,2,364900
2008,1060,2,1.75,2,352750
1978,1240,3,1.75,1,347000
2008,1210,3,2.5,3,345000
2008,1340,2,1.5,2,345000
1975,1920,4,1.75,1,341000
1977,1440,3,1.75,2,328000
1986,1350,3,2,1,325000
2010,1480,3,2.5,2,315000
2003,1980,4,2.5,2,307550
1974,1590,3,2,1,305100
1949,740,2,1,1,304700
1974,2390,4,3,2,290000
1963,1860,3,1.5,1,288350
1987,1680,3,2.25,2,285000
1948,1610,2,1.75,1.5,280000
1999,1990,4,2.75,1,270000
1960,1000,2,1,1,265000
1917,1200,2,1,1,255000
1969,2210,3,2.25,2,250250
1928,2520,5,1.5,1.5,250000
1934,1910,4,1,1.5,240000
1998,1330,3,1.75,1,236000
1944,1590,3,1,1.5,235000
1948,1330,3,1,1,234999
1969,1300,4,1.75,1,229950
1963,1150,3,1.5,1,213400
1978,1980,4,1.75,1,213000
1938,1030,2,2,1,212500
1977,5270,5,3.25,2,1800000
1988,3700,4,2.5,1,1250000
1923,2830,5,3,2,1240000
2001,3040,4,2.5,2,1230000
2004,3630,5,3.75,1.5,1180000
1988,2940,3,3,2,1070000
2014,3230,5,3.25,2,1060000
1983,3760,5,4,2,1030000
2013,2930,6,3.75,2,915000
2013,2580,4,2.5,2,899900
1953,2550,5,2.5,1,895000
1998,3340,4,2.5,2,870000
1926,1620,3,2.25,2,800000
1937,2750,5,3.25,2,750000
1926,1580,3,1,1.5,749000
2006,3490,4,3.25,2,745000
1995,3000,3,2.5,2,740000
2000,2440,3,3.5,2,710000
1954,2080,3,2,1,700000
1950,3100,5,2.75,2,700000
2005,2540,3,2.75,2,695000
2001,2550,3,2.5,2,695000
2001,3510,4,3.5,2,695000
1960,1760,3,1.75,1,680000
1957,1820,3,1.75,1,659500
1996,2510,3,2.5,2,659000
1962,2050,3,1.75,1,655275
1973,2560,4,2.25,2,650000
1983,2490,4,2.75,1,608000
2001,3870,4,4.5,2,589900
1916,2750,4,2,1.5,571000
1952,3670,5,3,1,569000
1954,2440,4,1.75,1,566000
1972,2340,3,2.75,1,563000
1900,2180,4,2,1,558000
1930,2180,3,2,1.5,555000
2013,2790,4,2.75,2,533112
2006,2880,5,2.75,2,525000
1919,2110,3,2,1,516200
1996,1800,3,2.5,2,515000
1995,2340,3,2.5,2,505000
2005,1060,2,2.25,2,499950
1926,1220,2,1,1,499000
1980,2220,3,2,2,490000
1994,3020,4,2.5,2,490000
1955,1210,4,2,1,483300
1910,2320,4,1.75,1,480000
1975,2732,5,2.5,1,480000
1983,1490,2,1.75,1,475000
1965,2290,3,1.75,1,470000
1941,1470,2,1,1,445434
2000,1290,3,1.5,3,440000
1986,1970,5,2.25,1,435000
1959,1870,3,1.75,1,433000
1951,2010,3,1.5,1,429950
2005,1410,3,3.25,3,429000
1916,860,2,1,1,420000
1941,1390,4,1,1.5,417500
2000,2090,3,2.5,2,415000
1926,1100,2,1,1,403000
1978,2530,4,2.5,1,400000
1943,710,2,1,2,399950
1990,1940,4,2.75,2,392000
1971,1720,4,1.75,1,385000
1959,1680,4,1.5,1,380000
1975,1530,3,1.5,1,375500
1999,2210,4,2.5,2,375000
2002,1960,4,2.5,2,369990
1976,1520,3,1.75,1,366000
1968,1630,4,2,1,360000
1952,1890,3,1.75,2,359950
1978,1392,2,0.75,1.5,350000
1955,1540,3,1.75,1,345000
1978,2430,3,1.75,1,335000
1992,1930,4,2.5,2,315000
1924,1740,2,1,1,315000
1984,1420,3,1.75,1,310000
1965,1740,4,1,1.5,310000
1990,1780,3,2.5,1,310000
1947,1150,4,1,1.5,307000
1981,1010,2,1.5,2,306888
2014,2009,4,2.5,2,303210
1946,1651,2,2,1,285000
1990,1940,4,2.5,2,278500
2003,1560,3,2.5,2,269000
1943,1380,2,1,1,268000
1962,2040,3,1.75,1,253000
1975,1320,3,2,1,251750
1984,1590,3,1.75,1,250000
1944,1200,4,1,1.5,227000
1979,1760,3,1.75,1,225000
1967,970,3,1,1,219900
1962,920,3,1,1,199500
1973,1330,3,1.75,1,183000
1971,1930,6,1.5,1,175000
1965,970,3,1,1,165000
1959,1010,3,1,1,149500
1939,1120,4,1,1,100000
1940,10040,5,4.5,2,7060000
1965,8670,5,6.25,2,2890000
1950,2880,3,2.5,1,1990000
1995,4210,5,3.5,2,1370000
1922,2340,5,2.5,2,1090000
1987,3760,4,2.5,2,1010000
1925,2510,5,3,1.5,881000
1995,3470,4,2.5,2,875000
1977,3320,4,2.5,2,852600
1910,2070,3,2.5,1.5,850830
1948,3370,4,2.75,1,813000
2001,3280,4,2.5,2,809950
1909,2690,4,3.75,2,800000
1916,2210,3,1.5,1.5,799000
2004,4500,3,3.5,2,785000
1949,2430,3,1.75,1,762400
1997,2810,4,2.5,2,742000
1979,2490,4,2.75,2,740000
1909,2460,4,1.75,1.5,735000
2013,3240,5,2.75,2,719950
1948,2500,3,2.75,1,700000
1902,4250,6,3,2.5,665000
2002,4140,4,2.75,2,657500
1928,1030,2,1,1,650000
1927,2090,4,2,1.5,619400
1979,2910,5,2.75,1,600000
1989,2790,4,2.5,2,599000
1950,1680,4,2,1,588000
1976,2240,4,2.75,1.5,580379
1988,2600,3,2.5,2,571000
2004,1990,3,2.5,2,560200
2010,1650,3,3.5,3,547500
1979,2180,3,2.5,1,545000
2014,1240,2,1.25,2,545000
1978,2520,5,2.25,2,535000
1927,1550,3,1.75,1,530000
1921,1640,2,1.75,1,527000
1980,1730,3,1.75,1,522000
2007,2550,4,3.5,2,516000
1951,3370,3,2.5,2,515000
1986,1720,3,1.75,1,514000
2007,3440,6,5,2,495000
2007,1295,2,1.5,2,487028
1908,1140,3,1,1.5,476000
2005,1630,3,2.25,2,475000
1955,1470,4,1.75,1,465000
1965,2090,4,2.5,1,465000
1989,2180,4,2.5,2,464000
1929,2060,3,2,1,460000
2001,3170,4,2.5,2,455000
1955,2300,4,2.5,1,450000
2004,1420,3,2.5,3,435000
1901,1860,4,1,1.5,427000
2009,2550,4,2.5,2,415000
1948,1640,3,2,1,405000
1943,710,2,1,2,399950
2004,1270,3,1.5,2,386000
1954,1460,3,1.5,1,381000
1964,1370,3,2,1,371500
1951,890,3,1,1,371000
1946,750,1,1.75,1,355000
1965,940,3,1,1,354000
1962,1170,3,1.75,1,352500
2006,1460,3,3.25,2,350000
2002,1430,3,2.5,3,349000
1963,2030,4,2.25,1,335000
1942,720,2,1,1,333000
1989,2210,3,2.5,2,330000
2012,2456,3,2.5,2,329950
1978,1790,3,1.75,1,325000
1952,1160,3,1,1,317000
1994,2250,3,2.5,2,308900
1999,2100,5,3.5,2,295000
2006,2414,4,2.75,2,292000
1931,860,2,1,1,290300
1968,1520,3,1.75,1,290000
2005,1870,3,2.5,2,285000
1989,1860,3,2.5,2,280000
1952,1350,2,1,1,276900
1962,1160,3,1.5,1,262500
2006,982,2,1.5,2,250000
1959,1510,5,1.5,1,248000
1984,1360,3,1.5,1.5,240000
1910,1640,3,2,1.5,234000
1951,1910,5,2,1,230000
1942,1050,3,1,1,220000
1977,1570,3,1.75,1,214950
1953,700,2,1,1,200000
1939,620,1,1,1,148000
1927,800,2,1,1,110000
1905,4860,5,4.25,1.5,2250000
1937,3000,4,2.5,2,1690000
2006,4030,4,3.75,2,1490000
1965,3200,5,2.25,1,1330000
2006,4410,5,4,2,1240000
1991,5730,4,2.5,2,1230000
1948,3200,4,2.5,1.5,1180000
1989,3270,4,2.5,2,1070000
2003,2370,4,2.5,2,1030000
1911,2420,4,3.25,1.5,920000
1957,2460,4,2.25,1,900000
1966,2060,3,2.25,1,890000
2005,3960,4,3.25,2,860000
1972,2130,4,2.25,2,850000
1977,2790,3,3,2,835000
1987,2683,4,2.5,2,822000
1979,2420,3,2,1,795000
2005,3010,4,2.5,2,789500
1989,3950,3,3.5,1.5,784000
1961,2110,3,1.75,1,743000
2000,2480,3,2.5,2,717000
1942,1900,3,2.75,1,706000
1996,3280,4,2.5,2,699000
2007,2570,3,2.5,2.5,680000
1952,2460,3,2,1,678500
1956,2050,3,2.5,1,670000
1925,2340,3,3,2,660000
1919,2710,4,2,1,656500
2006,3690,5,3.5,2,640000
1929,1430,2,1,1.5,620000
1984,2180,4,2.25,2,610750
1914,1480,3,2.25,2,600000
1967,2820,5,2.75,1,599000
1937,1870,4,1.75,2,594000
2007,1910,3,2.5,2.5,585000
1903,2060,5,2,2,580000
1966,3140,4,2.5,1,578000
1935,1510,2,1,1.5,575000
2004,1710,3,2.25,2,561000
1944,1880,4,1.75,1.5,560000
1909,1510,3,1,1.5,545000
1988,2120,3,2.5,2,531000
1926,2080,4,1,1.5,520000
1967,1600,3,1.75,1,510000
1976,1970,3,1.75,1,501000
1996,2990,5,2.75,2,498500
2003,2140,4,2.5,2,495000
1955,1769,3,2,1,495000
1986,2640,4,2.25,1,489950
1989,2470,4,2.5,2,485000
2005,1250,3,2.5,3,480000
1957,1940,5,2,1.5,465250
1940,1630,2,1.5,1,448000
1947,1050,3,1,1,445000
1911,2460,5,1.75,1.5,445000
1910,1210,3,1,1.5,440000
1926,1710,3,1,1.5,440000
1972,1560,3,2.75,1,440000
1947,1890,4,1.75,1,430000
1984,1330,3,1,1,405000
2008,1240,3,3.5,2,402000
1938,1590,3,1.75,1.5,400000
1948,1180,3,1,1,397990
1950,1800,3,1.75,1,381000
1947,1220,2,1,1,370000
2008,1651,3,3.25,2,363000
1904,2300,4,2.25,1.5,350000
1966,1060,3,1,1,349950
2002,2080,3,2,1,342500
2009,1170,2,2.25,2,336750
1963,1910,4,2.5,1,333000
1947,1100,2,1,1,320000
1908,970,2,1,1,315000
1993,1880,3,2.5,2,315000
1999,1070,2,1.5,2,312500
1997,1880,5,3,1,310000
2001,2490,4,2.5,2,306000
2008,1470,3,3.25,2,300000
1988,1970,3,2.5,2,299995
1966,2210,3,2.5,1,299000
1990,2210,4,2.5,1,294000
1922,420,1,0.75,1,280000
1966,1490,4,1.5,2,259000
2003,1770,4,2.5,2,248000
1985,1840,3,1.75,1,235000
1957,910,2,1,1,223000
1968,1200,4,1.75,1,210000
1970,1130,4,1.5,1,210000
1965,820,2,1,1,173000
1982,4310,3,2.5,1.5,1740000
1900,3170,2,2.25,2,1700000
1906,4200,5,2.25,2.5,1340000
2014,3010,6,3.75,2,1130000
1954,2540,5,1.5,2,1120000
1905,2750,4,2.5,2,1030000
1973,3100,5,2.75,1,975000
1989,3770,4,2.5,2,950000
1993,2350,5,2.5,2,910000
1974,2770,4,2.25,2,890000
1999,3670,4,2.5,2,883000
1997,4120,4,2.5,2,863000
1990,2280,2,2,2,849900
2002,4070,4,2.75,2,845000
1926,2320,5,3.5,2,822500
1952,1980,3,1.75,1,810000
2000,2860,3,2.5,2,799000
2007,3200,4,3.5,2,795000
1939,3140,4,2,1,775000
1958,2420,4,2.5,1,760000
1968,3210,5,2.5,1,725000
1900,2910,3,2,2,718500
1978,3650,4,2.75,1.5,697000
1930,2300,3,2.5,1.5,696000
1989,2790,4,2.5,2,665000
1975,3320,5,2.75,2,622500
1978,2350,3,1.75,1,615000
1989,2010,4,2.5,2,590000
1961,2440,4,3,2,589000
1925,2250,3,2,1,589000
1927,1870,3,1,1.5,585000
1992,2040,3,2.5,2,580000
1967,1760,3,1.75,1,577000
2006,1384,3,3,2,575000
1948,1640,3,1.75,1,556000
2003,3610,5,3,2,540000
1906,1460,3,1,1,538000
1926,1540,3,1,1.5,530100
1958,2020,4,2.75,1,513000
1926,1830,3,1,1.5,499950
1985,1580,3,2.5,2,485000
1981,1580,3,2.25,1,475000
1919,1850,3,1.75,1,459950
1957,2020,3,2,1,458000
1979,2630,4,2.25,2,454000
1974,2010,4,2.25,1,440000
1997,1500,3,1.75,1,435000
1971,1910,3,2,1.5,430000
1993,2690,4,2.5,2,419000
2009,1750,4,2.5,2,415500
1921,1920,3,2.25,1,385000
2006,2050,4,2.5,2,385000
2000,2540,4,2.5,2,380000
2005,1410,3,2.25,2,379500
1951,900,2,1,1,370000
2001,2220,4,2.5,2,370000
1961,1650,3,1.5,1,369500
1976,1820,3,1.75,1,350000
1987,1800,2,1.5,1,345000
2005,1070,3,2.5,2,330000
1997,2070,3,2.5,2,325000
2000,1880,4,2.5,2,324900
1983,1210,3,1.5,1,305000
1947,1280,3,1,1.5,304000
1966,2700,4,2.5,1,300000
1962,1180,3,1.75,1,299000
1905,1840,3,1.75,1,285000
1958,1900,4,1.75,1,265000
1981,1930,4,2.5,1,250600
2012,1400,3,2.25,2,250000
1980,1900,3,1.75,1,235000
1986,930,2,1,1,230000
1943,710,2,1,1,215000
1978,1440,2,1.75,1,210000
1978,1340,3,1,1,206135
1976,1290,3,1,1,205000
1920,1520,4,2,1,171000
1944,1270,3,1,1.5,153000
1950,1150,2,1,1,129000
1985,2960,4,2.5,2,883000
1968,2920,5,2.75,1,850000
2010,2450,4,2.75,2,735000
2005,1930,3,2.5,2,530000
2008,2360,4,2.75,2,525000
1923,1980,2,1,1,496752
1972,1510,3,2,1,397500
1950,1430,3,1.75,1,330000
1926,2500,4,3.25,1.5,1140000
1990,2700,4,2.5,2,652500
1953,2140,3,1.75,1,650000
1940,1900,3,2,1,520500
1957,2430,5,3,1,506000
1957,1110,3,1,1,416000
2002,1890,3,2.5,2,269950
1950,3070,4,2.5,1,1920000
1926,3040,4,2.25,2,1740000
1978,2940,3,3.25,3,1710000
1958,3530,4,4,2,1100000
1992,2800,4,2.75,2,999000
2007,3280,4,3.5,2,963000
1954,2220,4,1.5,1,921000
2003,3030,4,2.5,2,902000
2006,3290,4,3.5,2,899950
1990,3190,4,2.5,2,862000
2014,3450,4,3.25,2,852880
2003,4140,4,3.5,2,850000
1919,1890,4,1.5,1.5,825000
1973,2810,4,2.5,1,825000
2013,2670,3,2.75,1,798800
2004,4290,4,2.5,2,792500
1939,1990,3,1.75,1,763101
2002,3100,3,2.5,2,759950
2014,3430,4,3.25,2,749995
2002,2690,4,3.5,2,699850
1918,1600,2,1.75,1,690000
2008,2840,4,3.5,3,685000
2010,2500,4,2.75,2,680000
1907,1720,3,1.5,2,667000
1900,1840,6,1.75,1,660000
1910,2610,4,2.75,3,650000
2005,2110,3,2.5,2,638000
2003,2640,5,2.5,2,632500
2002,2440,4,2.5,2,576000
1985,2120,4,2.5,2,575000
1987,2170,4,2.25,2,566000
1981,3130,4,2.75,2,565000
1999,3380,3,3.5,2,554000
1912,1120,3,1,1,552000
1975,1940,3,2.5,1,545000
2014,2650,4,2.5,2,542525
2005,1700,3,2.5,2,534500
1988,2050,4,2.5,2,530000
1910,1120,2,1,1.5,524000
2006,1420,3,2.25,3,523950
1976,1740,4,2.5,1,518000
1960,2280,4,2.75,1,500000
1947,1540,3,1.75,1,500000
1968,1750,3,1.75,1,499000
2006,2570,5,2.5,2,492500
1956,1510,3,1.5,1,470000
1958,1760,3,1.5,1,470000
2007,1350,3,2.5,2,468500
1966,2670,3,2.25,1,465000
1949,1550,3,1.75,1,460000
1951,1090,2,1.5,1,460000
1919,890,2,1,1,460000
1970,1310,2,1.5,1.5,455000
1948,3550,6,2.25,1,450000
1976,1890,3,1.75,1.5,445000
2003,2300,3,2.5,2,435000
2007,1980,3,2,3,435000
2009,2340,5,2.5,2,429000
1991,1830,3,2.5,1,427000
1960,2360,4,3,1,418000
1965,1220,4,1.5,1,418000
1923,1800,4,2,1,415000
1953,1580,4,2,1,410000
1947,1580,4,1.75,1,400000
1984,1690,4,1.75,1,385000
2000,1590,3,2,2,385000
2006,2960,4,2.5,2,385000
1928,830,2,1,1,385000
1960,2760,5,2.5,1,378000
1908,1240,4,2,1,375000
1913,2400,4,2,2,375000
1973,2040,4,2.5,1.5,375000
1926,1770,3,1,1.5,373000
1977,1530,3,2,1,371025
2014,1210,2,1.75,2,357186
1987,1760,4,2.25,2,353500
2004,1212,3,2.5,3,340000
1957,2040,3,1.5,1,335000
1908,960,1,1,1,332000
2005,1200,3,2.25,3,320000
1979,1150,3,1.75,1,309212
1967,1810,4,2,1,304000
2007,1940,5,3,1,300000
1960,1770,3,1.75,1,295000
1967,1960,4,1.75,1,285500
2009,1880,3,2.5,2,284000
1957,1100,3,1,1,277000
1969,1000,3,1,1,265000
1943,1200,2,1,1,245000
1999,880,2,1.5,2,235000
1957,1400,3,1.75,1,230000
1988,2240,4,2.5,1,220000
1940,1410,3,2,1,220000
1957,1070,3,1.75,1,183000
1973,1220,3,1.5,1,175000
1949,1230,3,1.5,1,150000
1947,760,2,1,1.5,92000
1983,9640,5,6.75,1,4670000
1993,4340,3,3.25,2,2480000
1934,4100,4,3.75,1.5,2030000
1976,3700,4,3,1,1730000
2008,4360,3,3.5,2,1560000
1958,2880,3,2.25,1,1540000
2013,4420,4,4,2,1330000
2004,4170,4,3.5,2,1200000
1905,2500,3,2.75,2,1190000
2000,2570,4,2.5,2,1170000
2006,2420,3,3.25,2,1010000
2001,2650,4,3.5,2,1010000
1978,2750,3,2.75,1,950000
1952,2960,3,1.75,1,936000
1998,3870,5,3.75,2,900000
1951,3010,4,4.25,2,870000
2014,3130,5,3.5,2,866059
1986,3150,4,2.75,1,854000
1996,3860,4,3.5,2,840000
1994,3010,5,2.75,2,837700
1964,3670,7,4.25,2,824000
2003,2670,3,2.5,2,810000
1988,2590,3,2.5,2,809000
1971,1570,3,2,2,765000
1991,2940,4,2.5,2,752000
2005,2300,3,2.5,1,738500
1908,1580,3,1,2,729000
1994,2630,4,2.75,2,725000
1988,2650,4,2.5,2,720000
1953,2740,6,1.75,1,675000
1976,2700,4,2.75,2,669000
1927,1880,3,2,1,667500
1948,1380,3,2,1,640000
1983,2490,4,2.5,2,616000
1989,2830,3,2.5,2,605500
1985,2010,3,2.25,2,605000
1962,2700,5,2,1,580000
1926,1710,5,1,1.5,560000
1971,2340,3,2,1,560000
1946,1120,4,1,1.5,554000
1976,2240,3,1.75,2,550000
2006,1380,2,2.5,3,549000
1926,1720,4,1,1.5,547000
1967,2030,4,2.25,1,545000
1991,1990,4,2.25,2,536000
2006,3070,4,2.75,2,535000
2009,3250,4,2.5,2,519000
1961,2180,3,1.75,1,506000
1998,2970,3,2.5,2,499500
1975,2030,4,1.75,1.5,493000
2008,2300,3,2.75,2,479500
2004,1230,2,2.25,2,479000
1985,2280,3,2.25,1,475000
1909,900,2,1,1,473000
2010,1180,3,2.5,3,472000
2001,2340,4,2.5,2,465950
2006,1430,2,2.75,2,465000
1943,1494,2,2,2,465000
1918,1550,4,1.5,1.5,458000
2005,1670,4,2.5,2,451000
1999,2470,4,2.5,2,449950
1962,1450,4,2,1.5,440000
1928,1230,2,1,1,435000
2009,1230,3,2.25,2,435000
1978,1730,3,2,1,430000
1950,980,3,1,1,430000
2000,2890,3,2.5,2,421000
1967,1610,4,2,1,415000
1968,1880,3,1.5,1,405000
1968,1450,3,1.5,1,402000
1986,2140,3,2.25,2,400000
2008,1620,2,2.5,2,386000
1993,2210,4,2.5,2,382500
1991,2150,4,2.5,2,380000
1995,2800,5,3.5,2,379900
1976,1160,3,1.75,1,375000
2015,1380,3,2,3,350000
2005,1260,2,2.5,3,350000
1975,2250,4,2.75,1,345000
2007,1680,3,2.5,2,345000
2004,1270,3,2.5,2,343000
1948,740,2,1,1,342000
1993,1530,3,2.5,1,332000
2003,3040,3,2.5,2,330000
1987,2610,4,2.5,2,325000
1927,860,3,1,1.5,320000
1956,1870,4,2,1.5,310000
1973,2110,3,2.25,1,305000
1994,1660,4,2.5,2,294999
2011,1413,3,2.5,2,286800
1988,1930,4,2.25,1,280000
1989,1380,3,2,1,272000
1978,1480,2,1.5,1,269500
1958,1440,3,1.75,1,260000
1948,1270,3,1.5,1,260000
1986,1870,3,2,1,259000
1987,1700,3,1.75,1,255000
1945,880,3,1.5,1,253000
1983,1088,2,1.5,2,250000
1998,1800,4,2.5,2,250000
1998,1160,3,1.75,1,250000
1982,1370,3,1.75,1,247200
1988,1280,3,1.75,1.5,242000
1943,1140,3,1,1,239950
1968,1190,3,1.75,1,235000
1983,1410,3,2,1,229950
1948,930,1,1,1,210000
1967,1320,3,1,1,206000
1978,1740,4,1.75,1,204950
1980,1430,3,1.5,1,198000
1977,1180,3,1.5,1,187500
1966,1920,4,1,1,170000
1948,1440,4,0.75,1,142500
2001,6430,4,3,2,4490000
1989,4850,4,4.25,2,3000000
2001,6050,6,5,2,1600000
1937,2020,3,2,1.5,1400000
2005,3870,4,2.75,2,1400000
1997,4290,4,3.25,1,1380000
2005,4680,4,3.5,2,1160000
1991,4270,4,2.5,1,975000
1999,3640,4,2.5,2,913000
1952,3020,6,3,2,900000
1918,2190,4,2.25,2,855000
1972,3450,5,3.5,1,850000
1938,3810,4,3.5,2,825000
2008,3170,4,2.5,2,820000
1990,2910,3,2.25,2,770000
1995,3210,4,2.5,2,770000
1997,2790,4,2.5,2,764000
1989,2420,3,2.5,2,739888
1948,1980,4,1.75,1,711000
2013,1540,3,3.25,3,690000
1983,3450,3,3,2,688000
1926,1260,5,1.75,1.5,650000
1981,2920,3,1.75,1,650000
1951,1320,3,1.5,1,650000
1976,2870,5,2.75,1,646000
1996,2807,4,2.5,2,630000
1987,1910,4,2.5,2,620000
1978,2480,5,2.25,2,615000
2008,3250,4,2.5,2,580000
1980,3160,5,3.25,2,574950
1996,2290,4,2.5,2,570000
1969,3260,5,3.5,2,568450
2004,1690,2,2,1,564000
1996,2795,5,3,2,562000
1938,1240,2,1,1,559000
1958,2040,3,1.75,1,555000
1961,1870,5,2.25,1,554000
1936,1560,3,2.5,1.5,545500
1989,2050,4,2.5,2,540000
1963,1970,3,1.75,1,540000
2013,1930,3,1.75,1,536751
2003,2120,3,2,2,535000
2008,2610,4,2.5,2,535000
2003,2920,4,2.5,2,515500
2007,1360,3,3.5,2,515000
2002,3850,5,3.25,2,507000
1968,1770,4,1.75,1,507000
2008,1430,2,2.5,3,485000
2008,1380,3,3.25,3,482000
1977,1700,3,1.75,1,475000
1966,2240,5,2.5,1,469000
1925,1510,3,1.75,1,465000
2006,2770,3,3.25,2,461000
1981,1180,3,1.75,1,455000
1928,1180,3,1.75,1,450000
2000,2410,4,2.5,2,440000
